RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1736.9516922179066,1749.9703935753475,1768.0001834852078,1782.4590993997147,1798.918226641468,1809.1987985290546,1822.94692420804,1832.2765991436377,1845.0754488294444,1850.4830770558358,1858.1474905955745,1864.9300681255927,1875.3868725979937,1888.293978442545,1903.303221088682,1915.904309964063,1928.7201529179467,1939.1496189488942,1952.0466515257451,1959.8178040648538,1965.338643061831,1967.056400991779,1967.5217135268983,1973.304613269047,1988.3130853567593,2005.6903196620053,2025.6476543857646,2038.03117433384,2052.9440586178694,2062.3788754702578,2074.2846343044052,2079.7459428616094,2084.8153105140177,2086.8443586693747,2091.889330124425,2097.924584247631,2108.8114705975554,2122.6655035555086,2133.6256639456024,2143.2639771011495,2151.7435663346005,2164.957323897156,2177.199286535152,2187.917108273054,2192.903506509941,2196.3140932442147,2200.8655102040634,2205.7963016320364,2212.3480748101742,2216.678691243906,2230.0998780432346,2241.8511842366606,2255.6490082641894,2265.000146574865,2273.4793731025825,2279.786211320381,2283.4857321950412,2285.5766739242977,2286.839896011473,2290.0119253088947,2295.0012973855637,2299.4454690463117,2299.0157907764033,2290.9736463304957,2282.9947125655553,2278.7939703851735,2280.5008300396207,2279.5479822071543,2274.407211085511,2269.583520396857,2267.2595838880775,2265.347020717062,2270.398716787456,2276.21008419361,2286.8166594669783,2296.579824582656,2314.720411195929,2345.760527198555,2383.7501880978875,2426.5451036548316,2459.025069625023,2481.0931217656744,2492.946396942653,2510.780220951646,2529.8043276702624,2556.107108994587,2577.945193949825,2604.39205357907,2627.1308598295946,2648.3236025926562,2668.984160137441,2685.961523642749,2696.736684646677,2694.573278590536,2688.8187165541294,2683.6828943223886,2685.8763998485983,2693.2745194624113,2707.4931971481237,2717.7069687391213,2725.5746265873145,2730.180167490256,2736.80254483091,2743.967061027862,2745.3227239073344,2744.112252213844,2734.77679652764,2728.4838154653435,2730.70812855429,2739.999450981164,2755.576043591261,2767.4595864562048,2781.7965734861,2792.562465749402,2805.2925341581663,2810.8458160604464,2817.5456217178903,2815.305621923116,2813.3682916355947,2806.448911325082,2832.170478825541,2854.7481861364195,2878.8964880122858,2870.4588728491212
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1509.744322689956,1518.8058542491992,1530.3940411942474,1539.8343664507765,1551.5880488351515,1562.6758053342205,1568.490674945889,1571.7703399294935,1566.1611112646578,1557.8726864049888,1548.399182827612,1547.403927011536,1556.710544110367,1569.4661543346192,1582.3257033515977,1590.709482634812,1598.5893133975233,1608.3526315633155,1615.8772726205168,1621.1344572805735,1613.7700144295268,1601.8595672300924,1586.8526784609553,1579.8836700982763,1586.4975099121687,1603.0352077871496,1623.8155730917492,1638.7641735969057,1650.7618165712133,1657.4106691495422,1659.591074319714,1654.1951926024344,1646.234424861409,1632.3015255631676,1622.5863607214344,1619.630113480376,1629.8414822147897,1644.5443075465748,1658.6220209861863,1669.7571451440404,1680.5589611608627,1690.7765433888312,1696.703572756669,1694.1358880802568,1681.240907633831,1667.2795964803777,1657.155895957454,1657.3265502731497,1667.1613941473793,1679.754725670772,1698.3267169091828,1712.506498024366,1726.005738398884,1733.5118238134405,1737.0741762920243,1737.7882816687913,1732.1251169581578,1724.84097107215,1715.159116089652,1709.2087465965749,1717.9992346966549,1731.6431731718262,1747.586197162892,1748.523516533588,1746.3844877994495,1742.6570379989514,1740.2268227802974,1731.21083085141,1711.5303525141458,1682.7161774875433,1657.715050488932,1648.0274052411405,1650.178017781591,1664.799124691043,1684.5099596487294,1714.5460960604635,1744.4882162270876,1771.5368934436804,1790.5538557293537,1802.3208086823038,1806.9670273308989,1804.4042302870662,1802.066912523972,1806.8516746191003,1822.474738255082,1841.0935754197376,1864.4029603456624,1889.5770112427913,1917.6214646829203,1939.3352716396014,1956.6221855258023,1963.9864583042265,1962.8183317822957,1956.9038682051555,1951.3625107692283,1953.0540128139576,1962.0262081873464,1978.058645579103,1997.558535932652,2017.8641848227066,2040.926775611123,2061.1146735071547,2073.5456019780095,2078.689098064887,2072.0654713798112,2059.5777774944077,2048.1417531195852,2048.857335320832,2060.091178241484,2078.56843459328,2096.8947320968064,2120.465675279391,2140.0311775736723,2158.2207185545294,2166.6118277023147,2167.157506717589,2162.287912161717,2158.041207216161,2159.5459777194433,2164.358024969721,2173.6788468672758,2191.945046345962,2214.3000354678475,2240.854140649999
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1193.5498935395833,1196.6796706878556,1202.3881212564422,1212.796179748185,1223.0352821205674,1231.581213204404,1232.109842343343,1233.680536559413,1231.9209533724945,1229.5693925631983,1226.086145225229,1223.6240989740638,1224.880476856591,1227.1515943216027,1233.5936162272844,1238.6648028600314,1241.473880263547,1241.9284450116904,1241.2271091395367,1238.848742588592,1234.1241589242072,1231.0943414279611,1226.2500830414435,1223.400253022996,1223.435988589873,1231.1276341590637,1240.0889976247227,1244.4181818725058,1251.4519392459918,1252.3521190882982,1253.4474557105093,1248.484094969682,1255.4362523063073,1263.534072600218,1275.775088491227,1283.1839412994782,1285.9502351563526,1291.0167139561456,1291.345738574161,1299.4990115225855,1302.2474679902714,1307.507443229007,1306.6350644957697,1304.8137067422354,1300.8530562750473,1301.5636033120975,1303.587719857082,1303.70526389859,1303.488398426778,1300.8895907268482,1307.3036542968923,1312.8230559222452,1323.226231980333,1329.9399060368676,1334.004544599953,1333.7447778401297,1330.0944275324985,1328.8125972453565,1327.428778181955,1330.7051769815107,1333.4796564529613,1340.2375795097955,1346.519499284991,1343.56690002165,1337.6373999153107,1331.3476648250685,1335.386754143906,1339.0450264759158,1339.2372440063734,1339.8936334386713,1340.3586393992468,1340.1115699505783,1342.2495323666924,1344.0163080765335,1351.8463896256696,1364.4402691246542,1384.521438831819,1411.5611122207897,1435.5267662511683,1458.0788602364669,1471.0636623903572,1478.8585722551998,1483.1336842466349,1485.9308732844593,1491.8260894957264,1501.2013423155827,1511.629597717964,1522.9337307140545,1533.848028454388,1548.9986160003511,1561.8634525470316,1569.1736409358862,1567.1520393847136,1561.114723654996,1554.3270991757956,1552.255643502568,1556.7288559246358,1564.0469928111652,1575.195988814096,1579.9226402988188,1589.150350526859,1596.61680534714,1603.542475209436,1604.9584075012713,1601.1997627152473,1596.255516957534,1591.0449864973264,1588.8431629023773,1591.5814877563357,1596.3720073780883,1601.237451392503,1608.5029577339901,1618.0561911810958,1627.5898479916777,1633.1137418485791,1636.9056382347371,1638.7065897680432,1638.227674279165,1633.9675389494228,1629.2712417187188,1628.8314107821725,1632.329906874994,1642.1968001072273,1647.2681929818727
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,953.0360358838075,968.5776428978892,975.9422101958567,989.6280554204714,989.7267595424961,997.719922303311,997.5441171907336,998.9851259977264,1002.2627227088818,1005.3589565303406,1009.2928403832572,1010.817924698105,1016.1459817529727,1021.530670157794,1028.873249983873,1036.138694253887,1043.764223720788,1050.822865108756,1054.7928100665024,1056.7228319987757,1057.9777176199514,1057.590243965579,1059.3876203805173,1060.1225378070499,1067.1603992468574,1075.4472067466954,1087.8022050978243,1097.3153320460224,1107.0352507830737,1113.0938184680842,1118.257782118676,1120.544788165725,1123.2105943083895,1125.1919159024944,1128.6969082811293,1130.8275325956345,1135.8735591459738,1141.6870027311134,1154.8499048865654,1168.754229103786,1180.4398615222308,1188.6857441235027,1195.4996023293656,1201.964620594987,1207.842401746948,1211.8977219554788,1217.082635180263,1222.5090709159997,1227.1367150706162,1236.225381875097,1246.891892656469,1262.550737725657,1274.1414064947055,1284.565062854481,1292.1502440410775,1299.9235178238816,1304.7806497749093,1308.5240601320904,1313.8325714114108,1322.4142956765932,1332.5363010617443,1343.2299714087064,1349.1939975991127,1349.0329694390464,1347.7214094294131,1351.3869873234744,1365.0198073175327,1381.4252090303478,1397.5864442706618,1412.0862115801024,1425.6094614268284,1436.9981285752692,1449.6944014678186,1463.4295086720513,1485.3295678534726,1513.9773276753058,1554.3710144879637,1601.3817708719055,1651.6194805025289,1695.6721249816223,1728.508806213705,1750.8943631558736,1763.6575388382544,1773.6022540498714,1782.9025321904176,1794.2701612047952,1808.129924992791,1819.7731100524097,1828.8453736783192,1836.186836954364,1842.3484485148938,1843.464510478042,1835.2223621944813,1824.018242818808,1813.4921451804696,1808.176672978295,1804.163617972649,1808.7330566792275,1822.8783285982017,1831.282565432668,1835.832020251046,1833.9453640745287,1838.453967745506,1838.807631181017,1835.486877297252,1827.9747726909457,1818.8180996512795,1810.9548599170905,1811.2637803140594,1819.369366701134,1829.768686848079,1838.8410433000035,1844.8479066574148,1847.816031643449,1851.1379533238799,1852.8070554288227,1852.640744893933,1843.063274834881,1833.161145239235,1824.923371095735,1826.8666491567715,1835.2833555086377,1844.0404936266448,1847.3467568496624
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1699.3416909582795,1710.9332112627933,1720.664548502116,1724.0836924820587,1735.3141846103472,1744.0166304354304,1760.5301914905988,1771.2579133242778,1779.5450168228112,1783.3453077280126,1781.9715759960143,1789.1608871993492,1795.3613228793508,1804.628334178858,1814.084029671298,1824.240015568733,1837.8747687193097,1852.7020621825322,1865.5291194373426,1872.8958657816374,1875.76773380582,1877.4342294695268,1878.6272486144253,1881.3591862416072,1888.3089574731107,1904.3516250365255,1923.408224476797,1941.9684107529838,1959.582968404736,1971.2572071287843,1983.5021119558635,1988.0426256586584,1991.7772196508868,1991.6185352794853,1991.5718193257337,1993.4225679402455,2004.288277213752,2016.6052786322064,2031.5857440862094,2043.125438693906,2059.5167177505537,2070.5129207488794,2081.3237983057716,2089.043416631105,2094.7101851574434,2094.7181049984724,2089.514212869811,2091.7480164826684,2096.8815235689367,2104.7512219422674,2111.5571284922557,2121.5671926220743,2134.2785110346717,2146.240644183982,2158.485949823647,2166.695145136179,2168.90145686973,2168.565091769905,2169.0101253623443,2173.8088407574282,2179.3843994089834,2185.005958022955,2188.847920788705,2179.726656641594,2172.5176215552956,2170.9309072246674,2182.60412903858,2192.20200015303,2204.4983436499697,2221.006451602589,2235.898655524372,2246.7136787187997,2253.5470395654347,2264.996725216089,2282.689989612461,2311.201935120604,2348.713820258628,2387.895892757329,2439.5530927337313,2493.0030799686447,2549.5100362770186,2583.9399969918763,2606.9962554859185,2622.6892982528775,2641.4347885970224,2669.362236611224,2700.7582563158157,2745.735930904052,2790.3872599407,2838.59476471987,2872.284702073403,2901.359526981844,2906.6370624139513,2900.009428063173,2878.680127160911,2867.976695495865,2862.010130466112,2871.2911833723642,2896.637748169287,2927.7940888786748,2961.991225967225,2984.6170121505847,3003.4665796134454,3011.1921146298296,3008.0281874482075,2992.5918291873977,2968.1642805687707,2948.977106741336,2941.613059587705,2951.5575043665203,2969.495098542274,2993.079294756781,3013.20909620304,3033.856489805563,3048.2691337526157,3052.7023746188584,3051.042893250232,3046.6779649802784,3043.517684284646,3035.176472129314,3036.0103848214244,3042.8188756980885,3059.645122432927,3070.247240444101
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1906.1810339781161,1917.143599461534,1929.0929839748271,1943.5264753125223,1953.6712411871436,1966.736779104618,1977.8699423573553,1990.9869886266908,1993.7525055991732,1998.4182863040453,1995.6576671568257,2000.6680031177425,2005.7909456062587,2015.8381809191621,2021.1889021363668,2027.1774732346653,2041.4224656042777,2059.108392393312,2071.9486426465915,2073.7342587280264,2076.4748784061144,2073.209060169612,2078.4759166354793,2074.450690636725,2085.6296715978365,2098.7593765573674,2121.2819922545955,2138.0147707782185,2146.9387853441267,2156.0390733772274,2161.862953575969,2167.2838026945333,2169.5468914679327,2166.4284547300313,2169.747549785225,2171.856829631318,2183.0811390914655,2188.2163983725636,2199.9040654710875,2207.361865078027,2214.401190808635,2221.3230645137787,2227.464755022925,2229.9396687831254,2231.0290856553192,2232.9704912851766,2238.49162424888,2240.6069866622297,2243.2767769025104,2248.3577915984106,2258.3072083304173,2265.5969886423723,2277.0359370955753,2285.2890381412944,2295.6425918375007,2299.09612045892,2301.223805117121,2302.3773174230982,2307.957129329916,2308.64540780196,2316.765124753048,2322.4782366072427,2328.820152867291,2313.0803990836216,2297.406469859358,2287.6712760333644,,2302.837222653674,2317.4985753929236,2331.3995486867975,2340.0605050426607,2347.5287320043326,2361.5063139115287,2382.3767381186,2404.764633700589,2425.4127976609966,2453.7754692073895,2500.4272865694797,2572.2694051147164,,2734.612328132435,2777.594074200875,2801.900117172179,2814.2297234351145,2832.08181506446,2850.049435541582,2879.1708593160324,2913.123579948705,2944.6595305776914,2973.057364336436,2993.40818886209,3003.374615186173,2998.833986061318,2987.264673537095,2973.3215125990755,2959.8133598031304,2948.4938780798357,2948.31380253747,2959.2127830009704,2975.057573016791,2991.307092882956,3011.055829533994,3042.678334590566,3071.356106875747,3083.7443253234233,3082.6055496132403,3069.6566823014123,3067.7492093444052,3064.6937002620753,3072.0191482264063,3074.0616778693766,3084.3468140167797,3098.0334732203382,3118.976294241452,3138.908427368057,3153.060818253105,3159.227943899739,3161.8448404872447,3157.265133585989,3148.71008721828,3154.2705717399876,3167.3160016097645,3190.1984946776465,3202.752639790222
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2285.682092822426,2302.4978176936806,2327.6826183646817,2347.243780871871,2371.199191481163,2399.4399672702752,2416.093229056325,2426.4766578717226,2440.3552741058943,2450.9162186219605,2443.3503856185016,2419.813968358193,2407.33336580542,2410.0783120551046,2423.927426026196,2430.7987998339468,2438.5567276956153,2450.230304546294,2467.823543848049,2484.002408654199,2491.2633809354634,2488.6734769508416,2489.5969649188373,2476.139766610631,2466.6147585290623,2455.8375279719558,2460.222359588958,2474.361974436259,2486.7489860716796,2503.3931959303654,2519.8797863679133,2533.3491532010694,2532.7929248829378,2514.612172767675,2495.612049321244,2482.8929800964847,2483.0968050863844,2484.8953627972433,2497.683960720324,2514.993957241265,2533.466737636469,2548.9974140880818,2559.480576181112,2569.8958240038983,2572.04994413366,2563.5412598618955,2549.289272775003,2531.8913572776937,2534.711667746368,2547.8902560391016,2573.80421720661,2590.7587472878263,2614.236379292126,2629.930072858309,2654.4895280507512,2669.6365499937197,2685.7192858055105,2688.9504482243537,2686.1320299256927,2678.2831817369247,2676.4600994810044,2685.3348855681993,2701.2566542663644,2696.1120091899493,2677.3224648514374,2644.841470971781,2622.4796639909946,2586.6618373985884,2540.1526327658735,2494.619932163804,2461.3868121357473,2442.873221493664,2435.2089956005575,2442.7786170747186,2463.637283587267,2495.8551936306985,2534.2963390684167,2586.252571618127,2641.5870747995605,2696.4141543821243,2742.751708255901,2768.4585686000755,2789.7848635973232,2800.3947255676353,2831.605902952629,2865.387592904848,2915.242532688906,2959.4170092099903,3021.01676425683,3083.830013789581,3144.010368769034,3183.8115225348406,3194.071745523313,3186.054889260364,3147.508139717116,3115.7168777143224,3106.1566521956506,3119.9881699171196,3143.0660502874894,3170.074744804483,3205.5155328327314,3247.88885421066,3278.0935963765446,3296.8942290757914,3300.7350273651577,3282.6870653047913,3241.5239947983837,3214.8171240631996,3213.4396086514435,3240.641247565662,3268.2947765854474,3294.503225613492,3332.3126345483365,3367.716628963665,3393.7376235520887,3395.7147483243316,3383.4760192810513,3361.2745136239037,3335.0557365470518,3304.5270133541235,3301.7720486787994,3325.221653499512,3373.157765152371,3417.116077736044
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1661.4200254468565,1672.5588977586476,1684.962218027089,1695.3890347406602,1706.1409416507222,1713.7319681236577,1721.6525214776493,1728.0955366622043,1736.2512419147258,1738.0427657830376,1744.6426568626152,1749.4487791718684,1756.6290257673106,1760.1219760302179,1763.32121572383,1763.4369684325736,1762.927100670768,1760.3142940006094,1760.6763131501898,1757.3957507825041,1757.2082160359703,1754.7054408433012,1752.637217147143,1747.2593480514556,1752.2127318567266,1758.7437679280988,1769.616553569023,1770.8195491178615,1773.5985260667462,1774.7121259557348,1776.133125770787,1778.8810135861925,1781.8943198809557,1785.8132639715998,1785.1736274397706,1785.6935536466765,1788.234207265477,1793.4388058041213,1798.789091618665,1804.4182893041832,1808.0546341947133,1813.4424294967405,1817.4851767803693,1823.5291772912458,1826.474061852863,1830.7813674366125,1832.4372295687076,1835.4281337127966,1836.0618529965122,1834.2004804928808,1837.3121431032787,1842.1040175442295,1850.642245330831,1854.3295842975122,1854.8958166315083,1856.662233489557,1858.3346642709892,1867.3982505681831,1877.0101685416778,1886.5959439135881,1889.5701594071602,1892.6860594220193,1889.946391865239,1880.0444155299824,1866.8226151285587,1862.3572718260734,1865.4647609673357,1866.2023889808017,1862.6419817615804,1866.959932082071,1882.0546240024967,1900.7253256048361,1925.2224238207398,1960.4901407612115,1999.3137627060346,2041.7874774405004,2085.4655042521654,2141.8623681573154,2209.845343782054,2273.9857665171826,2333.3419025038183,2378.517037256143,2423.6261712766027,2476.3078589277156,2523.2726964640624,2586.722115535764,2643.1497422820444,2709.660283852185,2756.272927220804,2791.743456197167,2816.494282788261,2828.0463742605148,2835.882000756974,2831.460135828287,2827.111096490226,2829.2572682222394,2833.4320682250054,2842.758485046398,2852.345807022017,2864.5317718970978,2870.4672868784746,2870.845947136468,2867.70440408556,2863.9220221405235,2859.4742392933636,2859.8564302667205,2864.6706272217243,2862.2569348699058,2863.7953528363755,2872.4932807674127,2893.5365051103286,2912.5730674250335,2924.166983630537,2927.215499772739,2930.7772639037134,2931.3272258406632,2937.1827079325644,2936.2806145395316,2934.645791171828,2931.5935122774026,2937.5081674275184,2944.548027568298,2951.1853085560024,2953.8392507907156
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1086.998725564202,1089.3282740098948,1096.1965393150879,1111.1324815597277,1124.5677056558372,1135.197679730225,1144.0438882012215,1147.444670318694,1149.8705977909876,1150.3392128462212,1154.9712933448716,1157.9240251862127,1161.0902398147407,1165.6033390917682,1173.1931588869556,1184.2358251356782,1193.1036632845128,1203.7595707461744,1208.0914463282688,1212.0869590553646,1211.9001220780783,1217.1500541662112,1220.2719339213645,1224.5621759155056,1230.8772534195393,1235.3616333563582,1247.1452343379963,1255.7591415684246,1269.552967278641,1275.1138595827676,1279.6803875818077,1279.3889680546793,1278.1746366920827,1276.0460175457254,1283.8452261433183,1288.509719336718,1292.7756153669502,1298.469014090704,1300.9651191405053,1305.7488806056806,1305.3577382524293,1318.3124494543151,1324.4381143727658,1329.1395515243821,1321.2676997964084,1323.203473576019,1325.1133812454304,1329.4729092806947,1334.6281713556882,1336.817208083803,1347.5253443649847,1355.7275016049643,1365.3951225833946,1377.039173829902,1379.6443792941911,1383.1104945574373,1381.0911898589698,1380.125339028779,1375.5358631190825,1368.6236366122464,1372.6217235281297,1378.868178294724,1386.7117056129237,1384.0167957334234,1380.9480632089408,1379.6893207234234,1381.283803010677,1383.979348362533,1386.0604540617267,1388.850139334488,1388.2085024096737,1390.71900864096,1395.004246875771,1407.4834687512518,1417.2653444070984,1435.9305659316046,1458.2194135233199,1492.2472165696072,1527.2487070753905,1559.2493320611247,1582.5206229831706,1594.9590096077343,1604.6629402590052,1612.1004085047614,1625.2731716660105,1641.2419508223563,1655.2861217793104,1675.6357765302694,1698.8013355093155,1733.8591990936065,1757.143650503545,1765.2909714675284,1758.715323090228,1740.9028609498469,1728.2704290296979,1716.4529316017624,1714.2354245525146,1715.69834353621,1726.4711258902362,1734.1636264471224,1742.8180840397301,1747.3051121580572,1754.5563291622977,1755.6598872002182,1751.0873640495581,1742.3523897555397,1733.6781044143595,1725.2850256826202,1721.8476019777,1720.2149359839248,1720.4137148386408,1723.5834929488242,1731.1563647597443,1742.867815678958,1752.907405793931,1759.1146070928246,1755.1308618512273,1748.0594142833631,1742.5373418996587,1737.9955652692306,1735.8957584886384,1737.0085622833026,1745.4008195109254,1756.90616658796
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1376.2718389903841,1377.5631343420955,1379.2931652973834,1387.163322874329,1395.7764304703894,1407.164941852091,1415.5375265452092,1421.20584325705,1427.7996864253848,1435.2773394186904,1440.657176119239,1444.7508039768402,1445.238668933252,1453.930775982315,1457.2502657248754,1458.1860326944065,1462.8449570675652,1468.2332410594106,1480.0468276590923,1484.779709222427,1498.2916071217858,1501.1303264763371,1508.4847668985951,1506.310536549639,1521.3259305091306,1531.3159571483695,1544.623314254384,1554.984361444397,1564.04874858696,1576.0731988238012,1584.7397087529691,1596.148473656849,1601.946566120232,1606.1349065839229,1610.075951361177,1612.4482785701277,1620.7850643626462,1632.4917562489757,1644.607744687574,1647.8402225000457,1650.1632820248933,1657.0740854730439,1668.4199722467874,1679.1316007688397,1690.1631124633632,1701.7263655137133,1708.7918422120586,1714.505104726312,1715.1246108505984,1717.3075327362303,1724.4701515264176,1735.432082489417,1747.5149542663764,1755.6336946099257,1765.3379947592425,1775.0534516941439,1781.0805798477334,1787.7409012736416,1790.7862055192893,1795.8214062039308,1798.1066743584304,1805.578464023361,1809.7429031951824,1805.9267937436616,1800.6163206181716,1810.7634689145018,1833.105298288289,1864.9173828843823,1893.240426289959,1921.7925539252744,1945.5969045726201,1968.3508836726055,1990.1501569549068,2013.9573681977122,2038.472717135827,2055.8789861072096,2092.0540566483155,2129.5224943662593,2184.665978013156,2229.6216461680538,2270.430198270436,2292.328948850078,2309.2121737338807,2312.2834213935535,2334.1753782210176,2351.3797529821877,2387.123679601938,2413.858679223092,2432.111393238693,2449.003756075547,2461.606029970081,2475.6501944821016,2483.9591495238797,2478.674964450701,2469.5520676515257,2458.8332277187437,2460.472835750467,2467.5267872846503,2478.6768978270406,2485.521920261895,2491.770564860896,2492.3915254027543,2497.3165614508885,2509.2940339052348,2517.6995755355306,2535.83883746659,2532.530109186172,2532.6223754043613,2520.6558788061793,2533.5391781211097,2542.949410230458,2558.0194942773073,2568.3632331999534,2575.167909757125,2590.496429382197,2596.0735426665215,2616.934630997468,2616.9390501196394,2613.893660596352,2620.0658600658203,2636.103818767839,2647.8629051006033,2640.118817424812,2634.628066934811
